"name","word","count"
"wisconsin","wisconsin",29
"quiere","quiere",2
"tiene","tiene",3
"q","q",2
"campaña","campaña",6
"le","le",3
"de","de",66
"pedir","pedir",2
"media","media",2
"para","para",6
"via","via",3
"clinton","clinton",18
"michigan","michigan",4
"les","les",2
"fuente","fuente",3
"3","3",6
"trump","trump",36
"va","va",2
"sus","sus",2
"un","un",10
"que","que",12
"por","por",18
"equipo","equipo",4
"tras","tras",2
"del","del",9
"protesta","protesta",2
"los","los",11
"china","china",3
"y","y",18
"recount","recount",10
"con","con",4
"2","2",2
"fidel","fidel",2
"ante","ante",2
"pedido","pedido",2
"estados","estados",5
"más","más",3
"puede","puede",2
"partido","partido",4
"lo","lo",2
"será","será",6
"al","al",7
"rt","rt",2
"pidiendo","pidiendo",2
"pennsylvania","pennsylvania",3
"las","las",3
"dije","dije",2
"hacer","hacer",2
"entertainment","entertainment",2
"ver","ver",3
"in…","in…",2
"israelí","israelí",2
"voto","voto",5
"este","este",3
"no","no",7
"6","6",3
"otros","otros",2
"gana","gana",2
"vote","vote",4
"pide","pide",3
"votos","votos",18
"blancos","blancos",2
"habrá","habrá",2
"día","día",2
"sí","sí",2
"d","d",6
"jill","jill",5
"reconteo","reconteo",4
"participate","participate",5
"migrantes","migrantes",2
"esta","esta",3
"disponible","disponible",2
"se","se",13
"cuando","cuando",2
"su","su",3
"en","en",52
"porque","porque",2
"millones","millones",2
"está","está",3
"bostonglobe","bostonglobe",3
"racistas","racistas",2
"ahora","ahora",2
"yo","yo",2
"es","es",9
"eeuu","eeuu",16
"ha","ha",8
"auditthevote el","auditthevote el",3
"pucherazodetrump","pucherazodetrump",6
"presidenta","presidenta",3
"stein","stein",7
"después","después",2
"llamada","llamada",2
"perdió","perdió",2
"todo","todo",2
"suma","suma",2
"noticias","noticias",2
"petición","petición",2
"vía","vía",6
"sobre","sobre",2
"oficialmente","oficialmente",2
"la","la",27
"salir","salir",2
"juez","juez",2
"verde","verde",4
"electoral","electoral",2
"realdonaldtrump","realdonaldtrump",3
"candidata","candidata",2
"pero","pero",3
"alfredojalifer","alfredojalifer",2
"drjillstein","drjillstein",2
"slate","slate",2
"in","in",6
"michaelantonio","michaelantonio",2
"qué","qué",3
"auditthevote recuentovotos","auditthevote recuentovotos",3
"hillary","hillary",11
"hackeo","hackeo",3
"culera","culera",2
"taiwán","taiwán",2
"nos","nos",2
"una","una",2
"investigado","investigado",6
"wis","wis",2
"recuento","recuento",26
"campaign","campaign",2
"dinero","dinero",2
"ctxtes","ctxtes",2
"méxico","méxico",3
